# name	textlen	contribs	revisions	extlinks	interlinks	interlang	linkedpag	backlinks	categories	firstrev	claims	pageviews
Friedrich Engels	126421	502	1360	101	3	114	445	1310	28	2003-05-22T19:06:22Z	153	148688
Robert Schumann	148280	1132	2875	89	7	96	363	1974	27	2003-05-23T20:28:24Z	169	235732
Theodor Mommsen	38108	377	680	42	2	96	417	940	50	2003-03-17T22:33:56Z	132	59741
Ludwig Feuerbach	103898	538	1102	45	3	68	255	319	14	2003-02-23T16:27:16Z	108	91840
Paul Heyse	59998	359	807	47	4	79	307	436	22	2003-06-08T19:51:46Z	114	28380
Max Stirner	31568	280	739	47	4	53	122	214	11	2003-04-22T21:10:18Z	105	35566
Theodor Fontane	67120	929	1980	88	3	52	344	1756	34	2002-05-13T13:59:54Z	123	429605
August Bebel	115712	447	1154	49	3	46	402	717	17	2002-11-17T23:04:34Z	90	81279
Georg Büchner	36880	764	1410	40	2	49	239	1144	13	2003-10-11T19:36:29Z	119	183388
Wilhelm Busch	135232	884	2013	48	3	45	360	629	19	2003-01-24T21:57:48Z	121	162870
Friedrich Hebbel	29991	350	572	64	5	33	128	655	20	2004-01-12T13:12:03Z	89	49623
Eduard Mörike	39186	561	1162	43	4	34	177	543	23	2002-09-09T19:06:52Z	104	61843
Theodor Storm	38536	800	1524	53	2	41	292	686	23	2003-05-25T11:01:50Z	89	137939
David Friedrich Strauß	17382	151	203	20	3	36	101	209	12	2003-11-29T10:01:05Z	69	12166
August Schleicher	19260	116	289	18	2	39	129	86	18	2003-09-13T23:45:27Z	68	6435
Carl Spitzweg	52067	406	684	32	3	37	136	295	9	2003-08-28T03:28:21Z	86	70337
Johann Martin Schleyer	18772	104	205	19	1	39	64	37	11	2004-04-21T09:26:37Z	40	5445
Wilhelm Raabe	29327	325	602	40	2	29	176	470	25	2002-09-09T19:09:11Z	72	35529
Alfred Brehm	23457	229	387	19	3	31	112	196	18	2003-01-21T19:25:10Z	79	20396
Richard von Krafft-Ebing	18690	160	322	24	1	32	82	129	17	2004-04-09T13:36:23Z	71	11554
Berthold Auerbach	23252	187	301	30	3	21	116	166	19	2003-09-05T08:23:07Z	68	12722
Paul Julius Reuter	7285	113	147	18	1	34	43	47	12	2005-04-05T11:57:36Z	48	9213
Albert Lortzing	13857	213	301	25	2	33	117	450	18	2002-12-01T21:30:59Z	79	21569
Emanuel Geibel	42518	279	628	64	4	19	175	310	17	2003-12-17T23:04:29Z	90	27584
Ludwig Büchner	16570	114	209	27	2	27	95	76	14	2003-12-14T11:56:03Z	76	6103
Adolf Bastian	14530	120	188	34	1	27	95	76	15	2004-03-02T20:40:00Z	66	7740
Gustav Freytag	30567	248	426	30	3	25	142	270	19	2004-03-09T08:46:18Z	71	31745
Karl Gutzkow	26119	170	307	34	2	23	116	252	18	2004-10-30T20:04:59Z	62	13871
Cosima Wagner	17968	188	285	16	0	27	85	224	13	2004-04-27T06:10:36Z	70	52563
Georg Herwegh	25537	227	400	29	3	22	150	227	23	2003-06-08T20:06:20Z	80	19276
Eugen Dühring	23810	98	303	45	0	28	113	68	9	2006-09-05T02:19:36Z	62	12465
Peter Cornelius	11278	118	157	21	1	27	56	148	17	2004-04-30T20:39:56Z	85	9162
Wilhelm Weitling	20203	128	216	26	2	21	83	95	16	2004-05-21T17:27:14Z	50	9758
Carl Schurz	28037	367	631	41	2	17	262	320	26	2004-02-05T14:50:45Z	81	30169
Christian Dietrich Grabbe	17679	201	357	26	3	19	93	247	14	2004-03-20T22:34:51Z	73	12533
Max Joseph in Bayern	10771	141	197	12	2	24	79	153	19	2004-12-02T22:41:25Z	41	70937
Konrad Duden	13487	307	490	20	0	24	78	95	14	2002-07-07T09:46:11Z	43	31504
Georg Ebers	11961	95	145	30	2	19	62	74	19	2004-08-04T08:35:33Z	71	4648
Otto Ludwig	12345	108	169	19	3	18	63	87	13	2004-05-16T15:21:51Z	62	6939
Heinrich Hoffmann	18391	179	272	39	3	18	66	145	21	2003-01-28T09:27:39Z	91	45005
Ferdinand Freiligrath	44107	244	434	90	4	15	181	324	20	2003-12-17T19:22:41Z	77	23389
Fritz Reuter	35803	296	610	35	4	19	167	474	20	2003-06-22T17:51:52Z	90	43542
Gustav Nachtigal	13935	169	253	18	1	21	141	163	18	2003-12-07T11:10:30Z	65	14696
Theodor Nöldeke	7668	92	152	21	1	18	48	132	23	2005-07-04T11:09:32Z	66	4629
Wilhelm Marr	25921	141	229	41	1	18	105	58	13	2004-09-11T13:33:48Z	36	9948
Paul de Lagarde	24547	150	246	22	3	18	127	109	13	2005-04-05T23:41:50Z	57	10783
Friedrich von Bodenstedt	9315	68	108	22	3	13	47	98	18	2007-08-11T07:19:44Z	62	7660
Gerhard Rohlfs	23319	176	300	28	2	16	138	112	14	2003-11-29T21:26:21Z	57	936
Sebastian Kneipp	24462	266	561	24	2	18	128	291	13	2004-02-24T12:28:26Z	61	60180
Ferdinand Gregorovius	98211	123	415	37	2	15	254	168	25	2004-08-20T06:51:35Z	81	5704
