s	desc	linkcount	article
http://www.wikidata.org/entity/Q34787	Friedrich Engels	172	https://de.wikipedia.org/wiki/Friedrich_Engels
http://www.wikidata.org/entity/Q7351	Robert Schumann	120	https://de.wikipedia.org/wiki/Robert_Schumann
http://www.wikidata.org/entity/Q25351	Theodor Mommsen	114	https://de.wikipedia.org/wiki/Theodor_Mommsen
http://www.wikidata.org/entity/Q76422	Ludwig Feuerbach	97	https://de.wikipedia.org/wiki/Ludwig_Feuerbach
http://www.wikidata.org/entity/Q76487	Paul Heyse	94	https://de.wikipedia.org/wiki/Paul_Heyse
http://www.wikidata.org/entity/Q76725	Max Stirner	80	https://de.wikipedia.org/wiki/Max_Stirner
http://www.wikidata.org/entity/Q76632	Theodor Fontane	70	https://de.wikipedia.org/wiki/Theodor_Fontane
http://www.wikidata.org/entity/Q76520	August Bebel	64	https://de.wikipedia.org/wiki/August_Bebel
http://www.wikidata.org/entity/Q154014	Georg Büchner	63	https://de.wikipedia.org/wiki/Georg_B%C3%BCchner
http://www.wikidata.org/entity/Q109540	Wilhelm Busch	61	https://de.wikipedia.org/wiki/Wilhelm_Busch
http://www.wikidata.org/entity/Q57182	Friedrich Hebbel	57	https://de.wikipedia.org/wiki/Friedrich_Hebbel
http://www.wikidata.org/entity/Q63699	Eduard Mörike	49	https://de.wikipedia.org/wiki/Eduard_M%C3%B6rike
http://www.wikidata.org/entity/Q26993	Theodor Storm	49	https://de.wikipedia.org/wiki/Theodor_Storm
http://www.wikidata.org/entity/Q57219	David Friedrich Strauß	46	https://de.wikipedia.org/wiki/David_Friedrich_Strau%C3%9F
http://www.wikidata.org/entity/Q76686	August Schleicher	43	https://de.wikipedia.org/wiki/August_Schleicher
http://www.wikidata.org/entity/Q164979	Carl Spitzweg	42	https://de.wikipedia.org/wiki/Carl_Spitzweg
http://www.wikidata.org/entity/Q12712	Johann Martin Schleyer	42	https://de.wikipedia.org/wiki/Johann_Martin_Schleyer
http://www.wikidata.org/entity/Q60647	Wilhelm Raabe	41	https://de.wikipedia.org/wiki/Wilhelm_Raabe
http://www.wikidata.org/entity/Q155112	Alfred Brehm	40	https://de.wikipedia.org/wiki/Alfred_Brehm
http://www.wikidata.org/entity/Q77082	Richard von Krafft-Ebing	39	https://de.wikipedia.org/wiki/Richard_von_Krafft-Ebing
http://www.wikidata.org/entity/Q76715	Berthold Auerbach	38	https://de.wikipedia.org/wiki/Berthold_Auerbach
http://www.wikidata.org/entity/Q71014	Paul Julius Reuter	37	https://de.wikipedia.org/wiki/Paul_Julius_Reuter
http://www.wikidata.org/entity/Q154203	Albert Lortzing	36	https://de.wikipedia.org/wiki/Albert_Lortzing
http://www.wikidata.org/entity/Q77333	Emanuel Geibel	34	https://de.wikipedia.org/wiki/Emanuel_Geibel
http://www.wikidata.org/entity/Q62831	Ludwig Büchner	33	https://de.wikipedia.org/wiki/Ludwig_B%C3%BCchner
http://www.wikidata.org/entity/Q58793	Adolf Bastian	33	https://de.wikipedia.org/wiki/Adolf_Bastian
http://www.wikidata.org/entity/Q58811	Gustav Freytag	33	https://de.wikipedia.org/wiki/Gustav_Freytag
http://www.wikidata.org/entity/Q76755	Karl Gutzkow	32	https://de.wikipedia.org/wiki/Karl_Gutzkow
http://www.wikidata.org/entity/Q75789	Cosima Wagner	31	https://de.wikipedia.org/wiki/Cosima_Wagner
http://www.wikidata.org/entity/Q57945	Georg Herwegh	31	https://de.wikipedia.org/wiki/Georg_Herwegh
http://www.wikidata.org/entity/Q76583	Eugen Dühring	30	https://de.wikipedia.org/wiki/Eugen_D%C3%BChring
http://www.wikidata.org/entity/Q57257	Peter Cornelius	29	https://de.wikipedia.org/wiki/Peter_Cornelius_(Komponist)
http://www.wikidata.org/entity/Q215808	Wilhelm Weitling	28	https://de.wikipedia.org/wiki/Wilhelm_Weitling
http://www.wikidata.org/entity/Q127437	Carl Schurz	27	https://de.wikipedia.org/wiki/Carl_Schurz
http://www.wikidata.org/entity/Q61091	Christian Dietrich Grabbe	27	https://de.wikipedia.org/wiki/Christian_Dietrich_Grabbe
http://www.wikidata.org/entity/Q434826	Max Joseph in Bayern	26	https://de.wikipedia.org/wiki/Max_Joseph_in_Bayern
http://www.wikidata.org/entity/Q65340	Konrad Duden	26	https://de.wikipedia.org/wiki/Konrad_Duden
http://www.wikidata.org/entity/Q62765	Georg Ebers	26	https://de.wikipedia.org/wiki/Georg_Ebers
http://www.wikidata.org/entity/Q77321	Otto Ludwig	25	https://de.wikipedia.org/wiki/Otto_Ludwig
http://www.wikidata.org/entity/Q215724	Heinrich Hoffmann	25	https://de.wikipedia.org/wiki/Heinrich_Hoffmann
http://www.wikidata.org/entity/Q213719	Ferdinand Freiligrath	24	https://de.wikipedia.org/wiki/Ferdinand_Freiligrath
http://www.wikidata.org/entity/Q76492	Fritz Reuter	24	https://de.wikipedia.org/wiki/Fritz_Reuter
http://www.wikidata.org/entity/Q60549	Gustav Nachtigal	24	https://de.wikipedia.org/wiki/Gustav_Nachtigal
http://www.wikidata.org/entity/Q63458	Theodor Nöldeke	23	https://de.wikipedia.org/wiki/Theodor_N%C3%B6ldeke
http://www.wikidata.org/entity/Q60312	Wilhelm Marr	23	https://de.wikipedia.org/wiki/Wilhelm_Marr
http://www.wikidata.org/entity/Q61310	Paul de Lagarde	23	https://de.wikipedia.org/wiki/Paul_de_Lagarde
http://www.wikidata.org/entity/Q77645	Friedrich von Bodenstedt	22	https://de.wikipedia.org/wiki/Friedrich_von_Bodenstedt
http://www.wikidata.org/entity/Q63209	Gerhard Rohlfs	22	https://de.wikipedia.org/wiki/Gerhard_Rohlfs_(Afrikareisender)
http://www.wikidata.org/entity/Q45075	Sebastian Kneipp	22	https://de.wikipedia.org/wiki/Sebastian_Kneipp
http://www.wikidata.org/entity/Q61425	Ferdinand Gregorovius	22	https://de.wikipedia.org/wiki/Ferdinand_Gregorovius
