# name	textlen	contribs	revisions	extlinks	interlinks	interlang	linkedpag	backlinks	categories	firstrev	claims
af	3687	6	15	18	0	47	36	13	15	2011-09-20T11:11:15Z	101
ar	3236	9	40	22	3	49	198	153	59	2013-07-09T21:57:23Z	101
az	775	2	28	20	0	49	15	1	9	2018-02-06T17:41:35Z	101
azb	1109	2	2	0	0	49	256	0	4	2017-06-22T09:58:28Z	101
bg	6572	7	22	34	1	49	50	23	33	2017-03-03T11:08:49Z	101
br	860	1	1	0	2	47	13	15	4	2018-11-07T11:40:33Z	101
bs	1333	24	41	1	3	47	186	48	5	2006-04-02T14:13:37Z	101
ca	904	9	10	21	29	49	30	10	4	2013-10-13T21:26:06Z	101
cs	6564	35	61	8	8	49	90	20	11	2006-06-11T20:01:38Z	101
da	8563	20	37	24	3	49	45	6	23	2008-11-29T14:41:35Z	101
de	69311	909	1893	94	4	49	322	1636	35	2002-05-13T13:59:54Z	101
el	1791	1	2	33	53	49	37	1	30	2019-05-01T22:03:23Z	101
en	13130	208	342	40	3	49	297	369	46	2002-09-13T20:05:12Z	101
eo	1828	38	62	17	1	47	32	23	8	2002-08-05T10:37:24Z	101
es	13739	66	112	28	10	49	65	57	26	2006-01-05T15:50:50Z	101
eu	1272	5	7	23	1	49	63	4	20	2011-12-26T23:54:40Z	101
fa	9961	29	61	21	2	49	220	125	40	2009-03-29T07:59:30Z	101
fi	2828	28	42	30	1	47	27	7	27	2006-04-26T14:39:46Z	101
fr	14726	111	204	21	1	49	71	132	32	2005-08-08T22:50:33Z	101
fy	2309	7	14	2	2	46	22	7	14	2011-02-23T14:45:08Z	101
ga	459	2	4	0	0	46	4	1	0	2015-02-21T16:28:44Z	101
gd	6076	21	45	24	1	47	78	9	4	2007-10-15T19:22:52Z	101
he	2960	35	70	21	5	49	68	21	20	2005-04-05T05:08:14Z	101
hr	1401	29	52	0	2	46	14	6	7	2005-08-24T04:56:51Z	101
hu	7219	36	60	16	1	49	22	34	12	2008-10-07T12:55:07Z	101
hy	9533	3	21	56	51	49	60	4	14	2016-06-17T12:50:09Z	101
ie	3847	1	6	0	0	49	45	1	2	2019-05-05T13:59:56Z	101
it	19242	47	68	12	3	49	309	230	20	2008-02-04T13:51:12Z	101
ja	8293	46	61	24	7	49	89	33	21	2006-01-03T07:40:29Z	101
ka	922	24	45	25	48	49	29	5	5	2005-05-24T12:12:05Z	101
ko	803	12	17	18	2	49	30	6	19	2009-04-16T17:59:25Z	101
la	658	18	26	2	3	49	8	9	7	2007-09-14T20:42:55Z	101
lb	690	13	20	0	2	46	7	7	3	2008-12-08T23:06:34Z	101
lv	2495	2	5	19	1	49	26	10	7	2016-03-17T16:27:33Z	101
mk	2658	2	2	22	6	47	29	21	25	2013-10-13T18:02:20Z	101
nl	13236	52	82	1	0	47	43	57	1	2005-11-08T02:24:43Z	101
no	6475	38	59	22	3	49	33	45	16	2005-11-23T18:25:13Z	101
oc	591	1	3	0	0	46	2	0	2	2017-05-22T16:11:51Z	101
pl	12273	50	71	52	13	49	76	33	10	2006-08-08T09:23:57Z	101
pt	2854	25	35	46	1	49	50	12	8	2007-01-28T19:43:01Z	101
ro	3925	32	51	37	15	49	34	13	28	2006-04-26T17:42:27Z	101
ru	5053	58	96	21	6	49	62	78	19	2005-03-25T17:07:01Z	101
sh	1298	16	23	0	2	46	11	14	5	2007-09-17T16:12:47Z	101
simple	7727	20	24	5	1	49	62	4	7	2008-04-06T05:43:12Z	101
sl	9303	14	46	22	51	49	46	12	25	2009-03-11T13:47:58Z	101
sr	1672	11	24	0	2	48	13	4	8	2011-05-09T22:41:52Z	101
sv	4960	36	60	2	0	46	23	40	7	2006-03-07T18:08:49Z	101
tr	1850	27	43	0	0	47	12	7	9	2007-05-10T18:26:41Z	101
uk	20521	10	38	62	83	49	178	13	18	2012-02-25T06:13:18Z	101
zh	393	11	13	27	1	49	35	11	32	2009-10-31T13:04:48Z	101
