# name	textlen	contribs	revisions	extlinks	interlinks	interlang	linkedpag	backlinks	categories	claims
L’Adultera	14810	45	74	11	1	1	70	40	7	6
Archibald Douglas (Ballade)	13014	50	99	17	1	0	30	15	5	3
Aus England	3993	8	34	2	0	0	33	25	5	3
Die Brück’ am Tay	15931	358	617	16	3	0	35	25	10	11
Cécile (Roman)	28101	54	111	13	0	0	75	48	8	4
Christian Friedrich Scherenberg und das literarische Berlin von 1840 bis 1860	2480	9	18	0	0	0	33	25	4	4
Effi Briest	68901	646	1235	27	0	13	190	226	7	29
Ellernklipp	6849	12	52	9	0	0	44	29	6	4
Frau Jenny Treibel	22276	151	218	7	0	3	49	90	7	10
Gorm Grymme	3787	46	71	5	1	0	17	6	5	3
Graf Petöfy	15787	29	47	6	0	0	49	31	6	5
Grete Minde	9517	79	126	4	0	2	55	45	7	8
Herr von Ribbeck auf Ribbeck im Havelland	10486	181	247	7	1	1	41	20	6	6
Irrungen, Wirrungen	13955	363	629	9	0	2	48	72	6	15
Jenseit des Tweed	7307	16	36	3	0	0	59	33	5	4
John Maynard	10253	458	831	12	1	0	30	15	6	4
Kriegsgefangen	4718	28	39	2	0	0	35	31	5	4
Mathilde Möhring	12302	70	114	3	0	1	50	40	5	6
Meine Kinderjahre	11843	31	85	0	1	0	37	31	6	4
Die Poggenpuhls	9640	43	62	3	0	1	65	34	5	8
Quitt (Fontane)	6025	24	45	4	0	0	39	29	6	6
Schach von Wuthenow	6550	59	81	10	0	2	57	57	6	10
Der Stechlin (Roman)	13201	86	150	8	1	2	63	83	7	8
Stine (Fontane)	47310	92	144	9	0	0	97	35	5	4
Unterm Birnbaum	9811	213	340	6	1	1	53	44	7	5
Unwiederbringlich	6777	34	58	3	0	1	82	45	8	11
Von Zwanzig bis Dreißig	4041	27	72	4	0	0	37	44	5	4
Vor dem Sturm (Roman)	6577	43	64	4	0	0	40	56	6	5
Wanderungen durch die Mark Brandenburg	47702	173	403	15	0	5	314	353	10	6
