# name	textlen	contribs	revisions	extlinks	interlinks	interlang	linkedpag	backlinks	categories	firstrev	claims	pageviews
af	3720	7	16	28	0	52	46	13	31	2011-09-20T11:11:15Z	123	603
ar	3296	11	50	39	13	52	201	158	74	2013-07-09T21:57:23Z	123	1573
arz	990	2	2	18	0	52	42	1	40	2020-01-29T20:27:10Z	123	0
az	861	3	29	20	16	52	25	2	10	2018-02-06T17:41:35Z	123	381
azb	1109	2	2	0	0	52	256	0	4	2017-06-22T09:58:28Z	123	233
bg	6563	8	25	36	1	52	50	23	35	2017-03-03T11:08:49Z	123	1178
br	860	1	1	0	2	52	13	15	4	2018-11-07T11:40:33Z	123	282
bs	1333	24	41	1	3	52	186	50	5	2006-04-02T14:13:37Z	123	649
ca	852	10	12	45	9	52	30	10	6	2013-10-13T21:26:06Z	123	517
cs	6400	37	63	8	8	52	54	22	12	2006-06-11T20:01:38Z	123	1519
da	8474	23	43	24	3	52	45	6	23	2008-11-29T14:41:35Z	123	1307
de	67120	929	1980	88	3	52	344	1756	34	2002-05-13T13:59:54Z	123	429605
el	1946	2	3	37	57	52	42	1	36	2019-05-01T22:03:23Z	123	523
en	15737	219	370	43	3	52	306	392	51	2002-09-13T20:05:12Z	123	57908
eo	1810	39	63	17	13	52	40	26	11	2002-08-05T10:37:24Z	123	457
es	13730	69	120	29	8	52	65	64	26	2006-01-05T15:50:50Z	123	6615
eu	1272	5	7	55	5	52	71	5	22	2011-12-26T23:54:40Z	123	332
fa	9961	33	65	21	2	52	222	130	39	2009-03-29T07:59:30Z	123	1625
fi	4671	30	44	37	2	52	33	8	35	2006-04-26T14:39:46Z	123	730
fr	15242	120	222	21	2	52	74	141	38	2005-08-08T22:50:33Z	123	10795
fy	2316	8	16	2	2	52	22	7	14	2011-02-23T14:45:08Z	123	322
ga	459	2	4	0	0	52	4	1	0	2015-02-21T16:28:44Z	123	290
gd	6076	21	45	53	1	52	83	9	5	2007-10-15T19:22:52Z	123	628
he	3250	38	75	28	1	52	72	23	21	2005-04-05T05:08:14Z	123	869
hr	1410	30	53	0	2	52	14	6	7	2005-08-24T04:56:51Z	123	720
hu	7219	36	60	17	1	52	23	36	13	2008-10-07T12:55:07Z	123	1592
hy	9716	5	26	71	44	52	62	5	20	2016-06-17T12:50:09Z	123	524
ie	3840	2	7	0	0	52	45	1	2	2019-05-05T13:59:56Z	123	323
io	585	2	3	0	0	52	9	1	1	2020-03-05T20:20:13Z	123	0
it	19114	53	77	45	6	52	326	241	38	2008-02-04T13:51:12Z	123	7726
ja	8303	48	63	33	11	52	97	35	35	2006-01-03T07:40:29Z	123	2725
ka	1169	26	48	31	28	52	32	4	5	2005-05-24T12:12:05Z	123	1301
ko	803	12	17	28	4	52	37	6	34	2009-04-16T17:59:25Z	123	840
la	806	20	29	2	3	52	13	11	7	2007-09-14T20:42:55Z	123	492
lb	648	14	21	21	2	52	24	7	16	2008-12-08T23:06:34Z	123	565
lv	2495	2	5	19	1	52	26	10	7	2016-03-17T16:27:33Z	123	967
mk	2697	3	4	22	6	52	29	21	26	2013-10-13T18:02:20Z	123	370
nl	13402	55	86	1	0	52	45	56	1	2005-11-08T02:24:43Z	123	3473
no	6458	40	62	43	3	52	36	44	21	2005-11-23T18:25:13Z	123	880
oc	591	1	3	0	0	52	2	0	2	2017-05-22T16:11:51Z	123	264
pl	13080	52	73	66	10	52	92	35	10	2006-08-08T09:23:57Z	123	4833
pt	2900	26	36	49	1	52	53	14	9	2007-01-28T19:43:01Z	123	1200
ro	3854	33	52	48	19	52	43	17	30	2006-04-26T17:42:27Z	123	1229
ru	5234	60	98	53	7	52	87	82	20	2005-03-25T17:07:01Z	123	7513
sh	1298	16	23	0	2	52	11	14	5	2007-09-17T16:12:47Z	123	379
simple	7735	20	25	5	1	52	62	3	8	2008-04-06T05:43:12Z	123	734
sl	9303	14	46	22	55	52	47	12	26	2009-03-11T13:47:58Z	123	612
sr	1672	11	24	0	2	52	14	4	8	2011-05-09T22:41:52Z	123	680
sv	5314	38	66	3	0	52	23	44	7	2006-03-07T18:08:49Z	123	1682
tr	1842	27	44	0	0	52	10	7	10	2007-05-10T18:26:41Z	123	1338
uk	20680	12	41	69	94	52	187	14	19	2012-02-25T06:13:18Z	123	963
vi	2742	2	5	4	1	52	14	34	3	2020-06-19T03:43:29Z	123	0
zh	393	11	13	28	1	52	35	12	33	2009-10-31T13:04:48Z	123	2738
