# name	textlen	contribs	revisions	extlinks	interlinks	interlang	linkedpag	backlinks	categories	firstrev	claims	pageviews
L’Adultera	14891	48	78	11	1	1	71	42	7	2005-11-15T15:14:59Z	6	14969
Archibald Douglas (Ballade)	13014	50	99	17	1	0	30	15	5	2007-05-16T12:25:03Z	3	13986
Aus England	4014	9	35	2	0	0	33	25	5	2011-05-11T18:11:49Z	3	1872
Die Brück’ am Tay	15585	372	645	13	2	0	37	25	9	2004-12-07T06:51:37Z	11	69623
Cécile (Roman)	28181	56	114	13	0	0	75	49	8	2005-11-16T16:57:49Z	4	11358
Christian Friedrich Scherenberg und das literarische Berlin von 1840 bis 1860	2494	10	19	0	0	0	33	26	4	2006-10-15T07:53:46Z	4	804
Effi Briest	68592	662	1264	27	0	13	212	252	7	2004-03-06T00:57:45Z	31	266362
Ellernklipp	6964	13	53	9	0	0	44	29	6	2011-05-19T16:09:07Z	4	5662
Frau Jenny Treibel	22423	161	228	11	0	3	52	93	7	2004-03-06T17:08:52Z	11	34382
Gorm Grymme	3816	49	74	5	1	0	16	6	5	2006-09-25T14:19:24Z	3	5771
Graf Petöfy	15790	30	48	6	0	0	49	31	6	2006-02-03T06:33:46Z	5	3440
Grete Minde	12865	83	138	4	0	2	63	45	7	2004-11-28T12:02:51Z	8	22319
Herr von Ribbeck auf Ribbeck im Havelland	10952	195	269	11	1	2	42	21	6	2009-01-03T19:48:14Z	6	101277
Irrungen, Wirrungen	14413	369	641	8	0	2	54	78	6	2005-01-19T18:09:03Z	15	55087
Jenseit des Tweed	7538	19	42	4	0	0	62	34	5	2010-04-01T12:58:14Z	4	5383
John Maynard	10437	496	893	14	1	0	30	17	6	2004-06-12T15:41:00Z	5	117600
Kriegsgefangen	5626	29	43	3	0	0	35	33	5	2008-09-14T23:19:51Z	4	3358
Mathilde Möhring	13587	78	132	5	0	1	55	42	5	2005-01-16T14:35:14Z	7	13752
Meine Kinderjahre	11843	31	85	0	1	0	37	32	6	2005-05-13T16:00:22Z	4	3231
Die Poggenpuhls	9885	45	64	3	0	1	66	36	5	2005-11-14T21:02:22Z	8	8383
Quitt (Fontane)	6098	26	49	4	0	0	39	29	6	2006-07-31T12:06:53Z	6	4392
Schach von Wuthenow	6960	62	84	11	0	3	59	59	6	2004-05-07T14:07:39Z	10	10960
Der Stechlin (Roman)	14902	94	160	9	1	2	67	83	7	2004-05-06T18:43:30Z	9	42617
Stine (Fontane)	47399	96	149	12	0	0	101	39	6	2004-11-21T22:43:10Z	4	13400
Unterm Birnbaum	10712	227	364	8	1	1	65	47	7	2004-07-10T16:09:51Z	5	130142
Unwiederbringlich	6925	36	62	3	0	1	83	46	8	2006-01-23T11:13:19Z	11	9252
Von Zwanzig bis Dreißig	4331	31	76	4	0	0	38	46	5	2005-05-10T20:09:27Z	4	3233
Vor dem Sturm (Roman)	6772	47	69	3	0	0	40	61	6	2006-08-25T13:41:31Z	5	13220
Wanderungen durch die Mark Brandenburg	45983	192	437	22	0	5	244	375	10	2004-09-15T17:44:24Z	7	46415
